zlaggableName,zlaggableSlug,cragSlug,cragName,countrySlug,countryName,areaSlug,areaName,sectorSlug,sectorName,category,difficulty,gradeIndex,totalAscents,totalRecommendedRate,averageRating,flashOnsightRate,userClimbed,userClimbedInfo,hasVlId,overhang,vertical,slab,roof,athletic,endurance,crimpy,cruxy,technical,sloper,sum,steepness,style
n.n. 34,34-vqnpk-verrev,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b+,19,2,0.0,,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 35,35,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b,18,5,0.0,3.5,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
35,35-6r27o-verrev,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6a,16,3,0.0,3.6667,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 36,36,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b,18,2,0.0,3.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
36,36-pdcps-verrev,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b,18,5,0.0,2.0,1.0,False,,False,0,1,0,0,0,0,0,0,2,0,3,vertical,technical
37,37,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6a,16,1,0.0,3.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 39,39,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b+,19,2,0.0,2.0,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
3° millennio,3degree-millennio,noriglio,noriglio,italy,Italy,arco,arco,sektor-b-relax,sektor b - relax,0,6a+,17,4,0.0,3.0,0.25,False,,True,0,0,0,0,0,0,0,0,0,0,0,,
3°mese,3degreemese,cavedine,cavedine,italy,Italy,arco,arco,unknown-sector-44cc1,unknown sector,0,6c,21,8,0.0,1.5,0.625,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
3fois,3fois,forti-di-civezzano-4c77d-verrev,forti di civezzano,italy,Italy,arco,arco,colosseum,colosseum,0,7a,23,4,0.0,3.5,0.5,False,,False,1,0,0,0,0,0,0,0,0,0,1,overhang,
4,4,cividate,cividate,italy,Italy,,,unknown-sector-bfc04,unknown sector,0,4a,6,3,0.0,5.0,0.6666667,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 4,4,ozein,ozein,italy,Italy,,,grotta,grotta,0,8a,29,1,0.0,,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 4,4,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b,18,2,0.0,,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. (4 in topo),4-in-topo,nago,nago,italy,Italy,arco,arco,unknown-sector-3754c,unknown sector,0,5b,12,2,0.0,,0.5,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
4 stagioni,4-stagioni,la-pizzeria,la pizzeria,italy,Italy,arco,arco,unknown-sector,unknown sector,0,7c,27,1,0.0,5.0,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
4 stagioni,4-stagioni,val-lomasone,val lomasone,italy,Italy,arco,arco,settore-b,settore b,0,6b,18,7,0.0,3.0,1.0,False,,True,0,0,0,0,0,0,0,0,0,0,0,,
4 stagioni (variante),4-stagioni-variante,val-lomasone,val lomasone,italy,Italy,arco,arco,settore-b,settore b,0,6b,18,4,0.25,4.6667,1.0,False,,True,0,1,0,0,0,0,0,0,1,0,2,vertical,technical
4 you,4-you,padaro,padaro,italy,Italy,arco,arco,unknown-sector-bc40b,unknown sector,0,7c+,28,8,0.375,5.0,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 40,40,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6c,21,4,0.0,2.6667,0.75,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
40 gradi,40-gradi,noriglio,noriglio,italy,Italy,arco,arco,la-distilleria,la distilleria,0,6b+,19,2,0.0,5.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 42,42,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6b+,19,4,0.0,5.0,1.0,False,,False,0,1,0,0,0,1,0,0,1,0,3,vertical,"endurance,technical"
43,43,traversella,traversella,italy,Italy,,,speranze-a-dx,speranze a dx,0,5a,11,1,0.0,3.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
