difficulty,gradeIndex,route_id,cragSlug,cragName,sector_id,athletic,endurance,crimpy,cruxy,sloper,technical,vertical,slab,overhang,roof,sectorSlug,zlaggableSlug,max_style,style,max_steepness,steepness,zlaggableName,grade_dev,soft_sum,hard_sum,amount_ascents,grade_dev_name,dev,soft_dev,hard_dev
6a,16,1063,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,dentro-e-fuori,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Dentro e fuori,16.0,0.0,1.0,5.0,6a,0.0,0.0,0.2
6b,18,1064,noriglio,Noriglio,1064,1,0,0,1,0,1,1,0,0,0,casa-del-sole,penta,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Penta,18.0,1.0,0.0,5.0,6b,0.0,0.2,0.0
6b+,19,1065,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,oro-pungente,1.0,technical,1.0,vertical,Oro pungente,20.0,0.0,2.0,5.0,6b+,1.0,0.0,0.4
6c,21,1066,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,open-your-mind,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Open your mind,20.0,1.0,0.0,4.0,6b+,-1.0,0.25,0.0
6c+,22,1067,noriglio,Noriglio,1067,1,0,0,1,0,1,1,0,0,0,alta,linfallibile,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,l'infallibile,22.0,0.0,0.0,4.0,6c+,0.0,0.0,0.0
6c+,22,1068,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,gino-rovro,0.5,"athletic, cruxy",0.5,"overhang, vertical",gino rovro,22.0,0.0,0.0,4.0,6c+,0.0,0.0,0.0
6b+,19,1069,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,cumbre,1.0,technical,1.0,vertical,Cumbre,18.0,1.0,0.0,4.0,6b,-1.0,0.25,0.0
5c,14,1070,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,cinzia,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,CInzia,14.0,0.0,0.0,4.0,5c,0.0,0.0,0.0
7a,23,1071,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,eterno-riposo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Eterno riposo,23.0,0.0,0.0,4.0,7a,0.0,0.0,0.0
6b+,19,1072,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,vibration,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Vibration,20.0,0.0,2.0,4.0,6b+,1.0,0.0,0.5
6a+,17,1073,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,3degree-millennio,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,3° millennio,17.0,1.0,1.0,4.0,6a+,0.0,0.25,0.25
7a+,24,1074,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,ho-fatto-13,1.0,technical,1.0,vertical,Ho fatto 13,24.0,0.0,0.0,9.0,7a+,0.0,0.0,0.0
6a+,17,1075,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,wil-coyote,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Wil coyote,17.0,0.0,1.0,9.0,6a+,0.0,0.0,0.1111111111111111
6a,16,1076,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,astragalo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Astragalo,16.0,1.0,0.0,9.0,6a,0.0,0.1111111111111111,0.0
6b,18,1077,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,vale,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Vale,18.0,0.0,1.0,8.0,6b,0.0,0.0,0.125
6a,16,1078,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,makalu,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Makalù,16.0,0.0,0.0,7.0,6a,0.0,0.0,0.0
6c,21,1079,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,beton,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Beton,22.0,0.0,2.0,8.0,6c+,1.0,0.0,0.25
7b+,26,1080,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,inox-aeternum,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Inox aeternum,26.0,1.0,1.0,8.0,7b+,0.0,0.125,0.125
6a,16,1081,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,hot-dog,1.0,technical,1.0,vertical,Hot dog,16.0,0.0,0.0,7.0,6a,0.0,0.0,0.0
8a,29,1082,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,la-notte,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,La notte,29.0,2.0,1.0,7.0,8a,0.0,0.2857142857142857,0.14285714285714285
6a,16,1083,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,bruno,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Bruno,16.0,1.0,0.0,7.0,6a,0.0,0.14285714285714285,0.0
6a+,17,1084,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,giulia,1.0,technical,1.0,vertical,Giulia,17.0,0.0,1.0,7.0,6a+,0.0,0.0,0.14285714285714285
6a+,17,1085,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,nonni-sprint,1.0,technical,1.0,vertical,Nonni sprint,17.0,0.0,0.0,7.0,6a+,0.0,0.0,0.0
6a,16,1086,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,red-line,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Red line,17.0,0.0,2.0,6.0,6a+,1.0,0.0,0.3333333333333333
6b+,19,1087,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,basta-cosi,1.0,technical,1.0,vertical,Basta così,19.0,1.0,0.0,6.0,6b+,0.0,0.16666666666666666,0.0
6a+,17,1088,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,kit-kat,1.0,technical,1.0,vertical,Kit kat,17.0,0.0,1.0,6.0,6a+,0.0,0.0,0.16666666666666666
6a+,17,1089,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,tato-pani,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Tato pani,17.0,0.0,0.0,6.0,6a+,0.0,0.0,0.0
7a,23,1090,noriglio,Noriglio,1090,1,0,0,1,0,1,1,0,0,0,heidi-e-il-contadino,turbo-i-e,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Turbo ie,23.0,0.0,1.0,6.0,7a,0.0,0.0,0.16666666666666666
6a,16,1091,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,red-point,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Red point,16.0,0.0,1.0,6.0,6a,0.0,0.0,0.16666666666666666
6b,18,1092,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,andamento-lento,1.0,technical,1.0,vertical,Andamento lento,18.0,0.0,0.0,6.0,6b,0.0,0.0,0.0
6a+,17,1093,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,roby,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Roby,17.0,0.0,0.0,6.0,6a+,0.0,0.0,0.0
7a,23,1094,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,take-my-way,1.0,technical,1.0,vertical,Take me way,23.0,3.0,3.0,20.0,7a,0.0,0.15,0.15
6a+,17,1095,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,excalibur,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Excalibur,17.0,0.0,0.0,17.0,6a+,0.0,0.0,0.0
5c,14,1096,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,fabio,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Fabio,14.0,1.0,0.0,17.0,5c,0.0,0.058823529411764705,0.0
7a+,24,1097,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,alambicco,1.0,technical,1.0,vertical,Alambicco,24.0,0.0,0.0,16.0,7a+,0.0,0.0,0.0
7a,23,1098,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,flik,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Flik,22.0,5.0,0.0,15.0,6c+,-1.0,0.3333333333333333,0.0
6a,16,1099,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,white-line,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,White line,16.0,0.0,1.0,14.0,6a,0.0,0.0,0.07142857142857142
5c,14,1100,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,susanna,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Susanna,14.0,1.0,0.0,14.0,5c,0.0,0.07142857142857142,0.0
6c+,22,1101,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,cat-woman,1.0,technical,1.0,vertical,Cat Woman,22.0,1.0,1.0,13.0,6c+,0.0,0.07692307692307693,0.07692307692307693
5c,14,1102,noriglio,Noriglio,1070,1,0,0,1,0,1,1,0,0,0,settore-d,rosanna,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Rosanna,14.0,0.0,1.0,13.0,5c,0.0,0.0,0.07692307692307693
6c,21,1103,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,sinfonia,1.0,technical,1.0,vertical,Sinfonia,21.0,0.0,0.0,13.0,6c,0.0,0.0,0.0
6b+,19,1104,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,arcobaleno,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Arcobaleno,19.0,0.0,0.0,12.0,6b+,0.0,0.0,0.0
